Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2022-03-30 00:04:41,Redacted,EUR,-105.0,,,EUR,-105.0,-116.55316365,,
2022-03-29 23:32:56,Redacted,EUR,-2.73,,,EUR,-2.73,-3.0303822549,,
2022-03-28 18:15:08,Redacted,EUR,-17.95,,,EUR,-17.95,-19.9250408335,,
2022-03-28 06:17:42,EUR Deposit,EUR,66.1,,,EUR,66.1,73.372991593,,
2022-03-26 06:21:56,Redacted,EUR,-6.85,,,EUR,-6.85,-7.6037063905,,
2022-03-25 02:45:50,Redacted,EUR,-14.99,,,EUR,-14.99,-16.6393516487,,
2022-03-24 05:31:28,Redacted,EUR,-69.99,,,EUR,-69.99,-77.6910087987,,
2022-03-21 21:28:26,Redacted,EUR,-4.99,,,EUR,-4.99,-5.5390503487,,
2022-03-21 21:27:21,Redacted,EUR,-4.99,,,EUR,-4.99,-5.5390503487,,
2022-03-21 21:27:08,Redacted,EUR,-4.99,,,EUR,-4.99,-5.5390503487,,
2022-03-21 11:26:21,EUR Deposit,EUR,73.58,,,EUR,73.58,81.6760169654,,
2022-03-21 05:34:57,Redacted,EUR,-62.18,,,EUR,-62.18,-69.0216734834,,
2022-03-21 04:01:39,Redacted,EUR,-55.9,,,EUR,-55.9,-62.050684267,,
2022-03-21 03:04:37,Redacted,EUR,-36.39,,,EUR,-36.39,-40.3939964307,,
2022-03-20 08:14:42,Redacted,EUR,-13.37,,,EUR,-13.37,-14.8411028381,,
2022-03-18 04:35:22,Redacted,EUR,-9.99,,,EUR,-9.99,-11.0892009987,,
2022-03-17 09:13:03,EUR -> EUR,EUR,200.0,EUR,200.0,EUR,200.0,222.006026,,
2022-03-17 01:35:44,Redacted,EUR,-11.99,,,EUR,-11.99,-13.3092612587,,
2022-03-16 09:18:52,Redacted,EUR,-25.0,,,EUR,-25.0,-27.75075325,,
2022-03-14 06:46:55,EUR Deposit,EUR,86.07,,,EUR,86.07,95.5402932891,,
2022-03-14 06:33:28,EUR -> EUR,EUR,400.0,EUR,400.0,EUR,400.0,444.012052,,
2022-03-13 22:34:38,Redacted,EUR,-302.0,,,EUR,-302.0,-335.22909926,,
2022-03-10 15:01:34,Redacted,EUR,-7.12,,,EUR,-7.12,-7.9034145256,,
2022-03-10 02:52:43,Redacted,EUR,-9.99,,,EUR,-9.99,-11.0892009987,,
2022-03-08 10:34:19,Redacted,EUR,-15.0,,,EUR,-15.0,-16.65045195,,
2022-03-07 08:26:14,Redacted,EUR,-2.83,,,EUR,-2.83,-3.1413852679,,
2022-03-07 06:19:22,EUR Deposit,EUR,34.84,,,EUR,34.84,38.6734497292,,
2022-03-06 23:19:40,Redacted,EUR,-91.2,,,EUR,-91.2,-101.234747856,,
2022-03-05 09:37:04,Redacted,EUR,-14.0,,,EUR,-14.0,-15.54042182,,
2022-03-04 04:51:10,EUR Deposit,EUR,55.98,,,EUR,55.98,62.1394866774,,
2022-03-03 15:14:09,Redacted,EUR,-12.65,,,EUR,-12.65,-14.0418811445,,
2022-03-03 05:05:18,EUR -> EUR,EUR,230.0,EUR,230.0,EUR,230.0,255.3069299,,
2022-03-02 21:07:04,Redacted,EUR,-201.55,,,EUR,-201.55,-223.7265727015,,
2022-03-02 21:02:26,Redacted,EUR,-28.11,,,EUR,-28.11,-31.2029469543,,
2022-03-02 20:51:40,Redacted,EUR,-18.3,,,EUR,-18.3,-20.313551379,,
2022-03-02 10:50:34,Redacted,EUR,-1.29,,,EUR,-1.29,-1.4319388677,,
2022-03-01 19:20:32,Redacted,EUR,-17.99,,,EUR,-17.99,-19.9694420387,,
2022-03-01 07:56:56,EUR -> EUR,EUR,100.0,EUR,100.0,EUR,100.0,111.003013,,
2022-03-01 05:12:04,EUR Deposit,EUR,6.28,,,EUR,6.28,6.9709892164,,
2022-03-01 03:32:35,Redacted,EUR,-15.41,,,EUR,-15.41,-17.1055643033,,
2022-03-01 00:19:58,Redacted,EUR,-25.72,,,EUR,-25.72,-28.5499749436,,
2022-03-01 00:19:53,Redacted,EUR,-15.41,,,EUR,-15.41,-17.1055643033,,
2022-02-28 16:15:15,Redacted,EUR,-9.99,,,EUR,-9.99,-11.0892009987,,
2022-02-28 07:52:43,Redacted,EUR,-7.99,,,EUR,-7.99,-8.8691407387,,
2022-02-28 02:55:59,Redacted,EUR,-68.76,,,EUR,-68.76,-76.3256717388,,
