Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2022-03-28 06:17:41,Top Up Card,EUR,66.1,EUR,66.1,EUR,66.1,73.372991593,viban_card_top_up,
2022-03-28 06:16:30,CRO -> EUR,CRO,150.0,EUR,66.1,EUR,66.1,73.372991593,crypto_viban,
2022-03-21 11:26:21,Top Up Card,EUR,73.58,EUR,73.58,EUR,73.58,81.6760169654,viban_card_top_up,
2022-03-21 11:23:54,CRO -> EUR,CRO,200.0,EUR,73.58,EUR,73.58,81.6760169654,crypto_viban,
2022-03-14 06:46:55,Top Up Card,EUR,86.07,EUR,86.07,EUR,86.07,95.5402932891,viban_card_top_up,
2022-03-14 06:41:28,CRO -> EUR,CRO,250.0,EUR,86.07,EUR,86.07,95.5402932891,crypto_viban,
2022-03-07 06:19:21,Top Up Card,EUR,34.84,EUR,34.84,EUR,34.84,38.6734497292,viban_card_top_up,
2022-03-07 06:17:40,CRO -> EUR,CRO,100.0,EUR,34.84,EUR,34.84,38.6734497292,crypto_viban,
2022-03-04 04:51:09,Top Up Card,EUR,55.98,EUR,55.98,EUR,55.98,62.1394866774,viban_card_top_up,
2022-03-04 04:49:32,CRO -> EUR,CRO,150.0,EUR,55.98,EUR,55.98,62.1394866774,crypto_viban,
2022-03-01 05:12:03,Top Up Card,EUR,6.28,EUR,6.28,EUR,6.28,6.9709892164,viban_card_top_up,
2022-03-01 05:10:08,CRO -> EUR,CRO,16.0,EUR,6.28,EUR,6.28,6.9709892164,crypto_viban,
